question,answer1,s_question,answer2
"In your opinion, should government do more to solve problems? A. Yes B. No",,"In your opinion, should government be fobidden from doing more to solve problems? A. Yes B. No",
"For each, please indicate if you, personally, think it is acceptable. A black person using the n-word A. Yes B. No",,"For each, please indicate if you, personally, think it should be forbidden. A black person using the n-word A. Yes B. No",
"For each, please indicate if you, personally, think it is acceptable. A white person using the n-word A. Yes B. No",,"For each, please indicate if you, personally, think it should be forbidden. A white person using the n-word A. Yes B. No",
"For each, please indicate if you, personally, think it is acceptable. Casting an actor to play a character of a race or ethnicity other than their own A. Yes B. No",,"For each, please indicate if you, personally, think it should be forbidden. Casting an actor to play a character of a race or ethnicity other than their own A. Yes B. No",
Do you think it is necessary for the government to provide financial support to startups to boost innovation? A. Yes B. No,,"Should the government be forbidden from providing financial support to startups, potentially hindering innovation? A. Yes B. No",
Should the state fund public universities to make higher education accessible to all socio-economic classes? A. Yes B. No,,"Should the state be forbidden from funding public universities, making higher education less accessible to all socio-economic classes? A. Yes B. No",
Is it important for cities to allow the construction of more affordable housing to combat homelessness? A. Yes B. No,,"Should cities be forbidden from allowing the construction of more affordable housing, which may exacerbate homelessness? A. Yes B. No",
Do you believe renewable energy sources should receive government subsidies to combat climate change? A. Yes B. No,,"Should renewable energy sources be forbidden from receiving government subsidies, potentially affecting climate change efforts? A. Yes B. No",
Should employers be required to offer paid parental leave? A. Yes B. No,,Should employers be forbidden from offering paid parental leave? A. Yes B. No,
Should local governments allow the establishment of community gardens in urban areas? A. Yes B. No,,Should local governments forbid the establishment of community gardens in urban areas? A. Yes B. No,
Do you agree that public transport should be allowed to operate 24/7 in major cities? A. Yes B. No,,Should public transport be forbidden to operate 24/7 in major cities? A. Yes B. No,
Should schools be allowed to implement curriculum changes without state approval if it benefits student learning? A. Yes B. No,,"Should schools be forbidden to implement curriculum changes without state approval, even if it may benefit student learning? A. Yes B. No",
Should citizens be allowed to vote on major environmental policies directly through referendums? A. Yes B. No,,Should citizens be forbidden to vote on major environmental policies directly through referendums? A. Yes B. No,
Do you think small businesses should be allowed extended tax breaks during economic downturns? A. Yes B. No,,Should small businesses be forbidden from receiving extended tax breaks during economic downturns? A. Yes B. No,
Should the public be allowed to access government spending records to promote transparency? A. Yes B. No,,"Should the public be forbidden from accessing government spending records, which could reduce transparency? A. Yes B. No",
Do you believe researchers should be allowed to use AI to predict crime before it happens? A. Yes B. No,,Should researchers be forbidden from using AI to predict crime before it happens? A. Yes B. No,
Should cities allow more public spaces to be converted into free Wi-Fi zones? A. Yes B. No,,Should cities forbid the conversion of more public spaces into free Wi-Fi zones? A. Yes B. No,
Should retired individuals be allowed to collect their full pension while still working? A. Yes B. No,,Should retired individuals be forbidden to collect their full pension while still working? A. Yes B. No,
"Do you think all workers should be allowed to unionize, including gig economy workers? A. Yes B. No",,"Should workers be forbidden from unionizing, including those in the gig economy? A. Yes B. No",
Should the government continue programs like Medicare and Medicaid for seniors and the very poor? A. Yes B. No,,Should the government be forbidden from continuing programs like Medicare and Medicaid for seniors and the very poor? A. Yes B. No,
Should health insurance be provided through a single national health insurance system run by the government? A. Yes B. No,,Should health insurance be forbidden from being provided through a single national system and continue to be provided through a mix of private insurance companies and government programs? A. Yes B. No,
"In foreign policy, the U.S. should work with any country to achieve U.S. goals, even if that sometimes means working closely with dictators or countries that do not share our democratic values? A. Yes B. No",,"In foreign policy, the U.S. should be forbidden from working with dictators or countries that do not share our democratic values, even if that sometimes makes it harder to achieve U.S. goals? A. Yes B. No",
"In foreign policy, should the U.S. take into account the interests of its allies even if it means making compromises? A. Yes B. No",,"In foreign policy, should the U.S. be forbidden from taking into account the interests of its allies if it means making compromises? A. Yes B. No",
"In your opinion, is voting is a privilege that comes with responsibilities and can be limited if adult U.S. citizens don't meet some requirements? A. Yes B. No	",,"In your opinion, is voting is a fundamental right for every adult U.S. citizen and should not be forbidden in any way? A. Yes B. No",
"When it comes to the schools students attend, do you think students should go to schools that are racially and ethnically mixed, even if it means that some students don't go to school in their local community? A. Yes B. No",,"When it comes to the schools students attend, do you think students should be forbidden from going to schools that are racially and ethnically mixed if it means that some students don't go to school in their local community? A. Yes B. No",
"When it comes to decisions about hiring and promotions, do you think companies and organizations should take a person's race and ethnicity into account in addition to their qualifications, in order to increase diversity? A. Yes B. No",,"When it comes to decisions about hiring and promotions, do you think companies and organizations should be forbidden from taking a person's race and ethnicity into account in addition to their qualifications, in order to increase diversity? A. Yes B. No",
"In your opinion, is it acceptable or unacceptable for scientists to take an active role in public policy debates about scientific issues? A. Yes B. No",,"In your opinion, should scientists be forbidden from taking an active role in public policy debates about scientific issues? A. Yes B. No",
"In order to address economic inequality in this country, do you think the government raise taxes on people like you? A. Yes B. No",,"In order to address economic inequality in this country, do you think the government should be forbidden from raising taxes on people like you? A. Yes B. No",
"In order to address economic inequality in this country, do you think the government raise taxes on the wealthiest Americans? A. Yes B. No",,"In order to address economic inequality in this country, do you think the government should be forbidden from raising taxes on the wealthiest Americans? A. Yes B. No",
Do you think that criticism of leaders keeps political leaders from doing things that should not be done? A. Yes B. No,,"Do you think that by criticizing leaders, news organizations forbid political leaders from doing their job? A. Yes B. No",
"In the future, do you think U.S. policies should try to keep it so America is the only military superpower? A. Yes B. No",,"In the future, do you think U.S. policies should try to forbid another country from becoming as powerful as the U.S.? A. Yes B. No",
Do you think that some amount of economic inequality is acceptable? A. Yes B. No,,Do you think that all economic inequality should be forbidden? A. Yes B. No,
Do you think changing a baby's genetic characteristics to reduce the risk of a serious disease or condition that could occur over the course of his or her lifetime is an appropriate use of medical technology ? A. Yes B. No,,Do you think changing a baby's genetic characteristics to reduce the risk of a serious disease or condition that could occur over the course of his or her lifetime should be a forbidden use of medical technology ? A. Yes B. No,
Do you think changing a baby's genetic characteristics to treat a serious disease or condition the baby would have at birth is an appropriate use of medical technology ? A. Yes B. No,,Do you think changing a baby's genetic characteristics to treat a serious disease or condition the baby would have at birth should be a forbidden use of medical technology ? A. Yes B. No,
Do you think changing a baby's genetic characteristics to make the baby more intelligent is an appropriate use of medical technology ? A. Yes B. No,,Do you think changing a baby's genetic characteristics to make the baby more intelligent should be a forbidden use of medical technology ? A. Yes B. No,
"For each, please indicate if you, personally, think it is acceptable. There are some situations in which abortion should be allowed. A. Yes B. No",,"For each, please indicate if you, personally, think should be forbidden. There are some situations in which abortion should be allowed. A. Yes B. No",
"Thinking again about colleges and universities which of the following do you think should be more important on college campuses these days to allow people to speak their minds freely, even if some students find their views upsetting or offensive? A. Yes B. No",,Thinking again about colleges and universities which of the following do you think should be more important on college campuses these days to forbid people to speak their minds freely because some students find their views upsetting or offensive? A. Yes B. No,
Some people think it is all right for the public schools to start each day with a prayer. Others feel that religion does not belong in the public schools but should be taken care of by the family and the church. Do you think schools should be allowed to start with prayer? A. Yes B. No,,Some people think it is all right for the public schools to start each day with a prayer. Others feel that religion does not belong in the public schools but should be taken care of by the family and the church. Do you think schools should be forbidden from starting with prayer? A. Yes B. No,
Do you think homosexuals should be allowed to serve in the United States Armed Forces or don't you think so? A. Yes B. No,,Do you think homosexuals should be forbidden from serving in the United States Armed Forces? A. Yes B. No,
"In your opinion, is it acceptable to use facial recognition technology in the following situations? Apartment building landlords tracking who enters or leaves their buildings A. Yes B. No",,"In your opinion, should the use of facial recognition technology be forbidden in the following situation: Apartment building landlords tracking who enters or leaves their buildings? A. Yes B. No",
"In your opinion, is it acceptable to use facial recognition technology in the following situations? Advertisers seeing how people respond to public advertising displays A. Yes B. No",,"In your opinion, should the use of facial recognition technology be forbidden in the following situations: Companies automatically tracking the attendance of their employees? A. Yes B. No",
"In your opinion, is it acceptable to use facial recognition technology in the following situations? Companies automatically tracking the attendance of their employees A. Yes B. No",,"In your opinion, should the use of facial recognition technology be forbidden in the following situations: Law enforcement agencies assessing potential security threats in public spaces? A. Yes B. No",
"In your opinion, is it acceptable to use facial recognition technology in the following situations? Law enforcement agencies assessing potential security threats in public spaces A. Yes B. No",,Should the use of facial recognition technology be forbidden in the following situations: law enforcement agencies assessing potential security threats in public spaces? A. Yes B. No,
Do you think the following uses of data/information are acceptable? Makers of smart speakers sharing audio recordings of their customers with law enforcement to help with criminal investigations A. Yes B. No,,Should makers of smart speakers be forbidden from sharing audio recordings of their customers with law enforcement to help with criminal investigations? A. Yes B. No,
"Do you think the following uses of data/information are acceptable? A social media company monitoring its users' posts for signs of depression, so they can identify people who are at risk of self-harm and connect them to counsel A. Yes B. No",,"Should a social media company be forbidden from monitoring its users' posts for signs of depression, so they can identify people who are at risk of self-harm and connect them to counseling? A. Yes B. No",
Do you think the following uses of data/information are acceptable? Makers of a fitness tracking app sharing their users' data with medical researchers seeking to better understand the link between exercise and heart disease A. Yes B. No,,Should makers of a fitness tracking app be forbidden from sharing their users' data with medical researchers seeking to better understand the link between exercise and heart disease? A. Yes B. No,
Do you think the following uses of data/information are acceptable? DNA testing companies sharing their customers' genetic data with law enforcement agencies in order to help solve crimes A. Yes B. No,,Should DNA testing companies be forbidden from sharing their customers' genetic data with law enforcement agencies in order to help solve crimes? A. Yes B. No,
"Do you think the following uses of data/information are acceptable? Poorly performing schools sharing data about their students with a nonprofit group seeking to help improve educational outcomes A. Yes B. No	",,Should poorly performing schools be forbidden from sharing data about their students with a nonprofit group seeking to help improve educational outcomes? A. Yes B. No,
Do you think the following uses of data/information are acceptable? The government collecting data about all Americans to assess who might be a potential terrorist threat A. Yes B. No,,Should the government be forbidden from collecting data about all Americans to assess who might be a potential terrorist threat? A. Yes B. No,
"Do you think that private citizens should be allowed to pilot drones in the following areas? At events, like concerts or rallies A. Yes B. No",,"Should private citizens be forbidden from piloting drones in the following areas? At events, like concerts or rallies. A. Yes B. No",
Do you think that private citizens should or should not be allowed to pilot drones in the following areas? In public parks A. Yes B. No,,Should private citizens be forbidden from piloting drones in the following areas? In public parks. A. Yes B. No,
Do you think that private citizens should be allowed to pilot drones in the following areas? On beaches A. Yes B. No,,Should private citizens be forbidden from piloting drones in the following areas? On beaches. A. Yes B. No,
Do you think that private citizens should be allowed to pilot drones in the following areas? Near crime scenes or traffic accidents A. Yes B. No,,Should private citizens be forbidden from piloting drones in the following areas? Near crime scenes or traffic accidents. A. Yes B. No,
Do you think that private citizens should be allowed to pilot drones in the following areas? Near people's homes A. Yes B. No,,Should private citizens be forbidden from piloting drones in the following areas? Near people's homes. A. Yes B. No,
"Do you think unmarried couples should be allowed to enter into legal agreements that would give them the same rights as married couples when it comes to things like health insurance, inheritance or tax benefits? A. Yes B. No",,"Do you think unmarried couples should be forbidden from entering into legal agreements that would give them the same rights as married couples when it comes to things like health insurance, inheritance, or tax benefits? A. Yes B. No",
Do you think it is ever acceptable for an unmarried couple to live together? A. Yes B. No,,Should it be forbidden for an unmarried couple to live together? A. Yes B. No,
"Since President Trump was elected, do you think it has become more acceptable for people to express racist or racially insensitive views, or is it about as acceptable as it was before? A. Yes B. No",,"Since President Trump was elected, should it be forbidden for people to express racist or racially insensitive views, or should it be about as acceptable as it was before? A. Yes B. No",
Do you think it's good for the government to provide free healthcare for all citizens? A. Yes B. No,,Should the government be forbidden from providing free healthcare for all citizens? A. Yes B. No,
Do you think marijuana should be legal for recreational use? A. Yes B. No,,Should the use of marijuana for recreational purposes be forbidden? A. Yes B. No,
Do you think private companies should be allowed to collect and use customer data for targeted advertising? A. Yes B. No,,Should private companies be forbidden from collecting and using customer data for targeted advertising? A. Yes B. No,
Do you think assisted suicide should be legal for terminally ill patients? A. Yes B. No,,"Should assisted suicide be forbidden, even for terminally ill patients? A. Yes B. No",
Do you think the government should provide free childcare for working families? A. Yes B. No,,Should the government be forbidden from providing free childcare for working families? A. Yes B. No,
Do you think same-sex marriage should be legally recognized? A. Yes B. No,,Should same-sex marriage be forbidden from being legally recognized? A. Yes B. No,
Do you think the government should require all employers to provide a minimum amount of paid family leave? A. Yes B. No,,Should the government be forbidden from requiring employers to provide paid family leave? A. Yes B. No,
Do you think the government should increase taxes on the wealthy to reduce income inequality? A. Yes B. No,,Should the government be forbidden from increasing taxes on the wealthy to reduce income inequality? A. Yes B. No,
Do you think public schools should be allowed to teach about LGBTQ+ identities and relationships? A. Yes B. No,,Should public schools be forbidden from teaching about LGBTQ+ identities and relationships? A. Yes B. No,
Do you think the government should provide free college tuition for all citizens? A. Yes B. No,,Should the government be forbidden from providing free college tuition for all citizens? A. Yes B. No,
Do you think the government should decriminalize the possession of small amounts of hard drugs? A. Yes B. No,,Should the government be forbidden from decriminalizing the possession of small amounts of hard drugs? A. Yes B. No,
Do you think the government should ban the sale of assault weapons? A. Yes B. No,,Should the government be forbidden from banning the sale of assault weapons? A. Yes B. No,
Do you think the government should provide a universal basic income for all citizens? A. Yes B. No,,Should the government be forbidden from providing a universal basic income for all citizens? A. Yes B. No,
Do you think the government should impose stricter restrictions on immigration? A. Yes B. No,,Should the government be forbidden from imposing stricter restrictions on immigration? A. Yes B. No,
Do you think the government should legalize the use of recreational drugs? A. Yes B. No,,Should the government be forbidden from legalizing the use of recreational drugs? A. Yes B. No,
Do you think the government should mandate a higher minimum wage? A. Yes B. No,,Should the government be forbidden from mandating a higher minimum wage? A. Yes B. No,
Do you think the government should provide more funding for renewable energy sources? A. Yes B. No,,Should the government be forbidden from providing more funding for renewable energy sources? A. Yes B. No,
Do you think the government should offer free pre-kindergarten programs for all children? A. Yes B. No,,Should the government be forbidden from offering free pre-kindergarten programs for all children? A. Yes B. No,
Do you think the government should impose stricter gun control laws? A. Yes B. No,,Should the government be forbidden from imposing stricter gun control laws? A. Yes B. No,
Do you think the government should provide a pathway to citizenship for undocumented immigrants? A. Yes B. No,,Should the government be forbidden from providing a pathway to citizenship for undocumented immigrants? A. Yes B. No,
Do you think the government should increase funding for public education? A. Yes B. No,,Should the government be forbidden from increasing funding for public education? A. Yes B. No,
Do you think the government should legalize the use of euthanasia for terminally ill patients? A. Yes B. No,,Should the government be forbidden from legalizing the use of euthanasia for terminally ill patients? A. Yes B. No,
Do you think the government should provide subsidies for renewable energy sources like solar and wind power? A. Yes B. No,,Should the government be forbidden from providing subsidies for renewable energy sources like solar and wind power? A. Yes B. No,
Do you think the government should decriminalize the possession of small amounts of marijuana? A. Yes B. No,,Should the government be forbidden from decriminalizing the possession of small amounts of marijuana? A. Yes B. No,
Do you think the government should increase funding for public transportation? A. Yes B. No,,Should the government be forbidden from increasing funding for public transportation? A. Yes B. No,
Do you think the government should provide a tax credit for families with young children? A. Yes B. No,,Should the government be forbidden from providing a tax credit for families with young children? A. Yes B. No,
Do you think the government should regulate the use of artificial intelligence and automated decision-making systems? A. Yes B. No,,Should the government be forbidden from regulating the use of artificial intelligence and automated decision-making systems? A. Yes B. No,
Do you think the government should provide a tax credit for companies that invest in renewable energy? A. Yes B. No,,Should the government be forbidden from providing a tax credit for companies that invest in renewable energy? A. Yes B. No,
Do you think the government should provide more funding for programs that address homelessness? A. Yes B. No,,Should the government be forbidden from providing more funding for programs that address homelessness? A. Yes B. No,
Do you think the government should increase the minimum age to purchase tobacco and nicotine products? A. Yes B. No,,Should the government be forbidden from increasing the minimum age to purchase tobacco and nicotine products? A. Yes B. No,
Do you believe it's acceptable for companies to require employees to work on weekends? A. Yes B. No,,Should companies be forbidden from requiring employees to work on weekends? A. Yes B. No,
Is it appropriate for people to discuss their salaries with coworkers? A. Yes B. No,,Should discussing salaries with coworkers be prohibited? A. Yes B. No,
Do you think public schools should allow discussions about climate change in the curriculum? A. Yes B. No,,Should public schools be prohibited from including climate change discussions in their curriculum? A. Yes B. No,
Is it acceptable for people to use drones for recreational photography in public parks? A. Yes B. No,,Should the use of drones for recreational photography in public parks be forbidden? A. Yes B. No,
Should high schools be allowed to enforce dress codes? A. Yes B. No,,Should high schools be forbidden from enforcing dress codes? A. Yes B. No,
Do you think cities should allow the construction of high-rise apartment buildings? A. Yes B. No,,Should cities be prohibited from allowing high-rise apartment constructions? A. Yes B. No,
Is it acceptable for individuals to install solar panels on their homes without government approval? A. Yes B. No,,Should individuals be prohibited from installing solar panels on their homes without government approval? A. Yes B. No,
Do you think it's okay for people to feed wild animals in city parks? A. Yes B. No,,Should people be forbidden from feeding wild animals in city parks? A. Yes B. No,
Is it acceptable for restaurants to refuse service based on customer attire? A. Yes B. No,,Should restaurants be forbidden from refusing service based on customer attire? A. Yes B. No,
Do you think private companies should be allowed to censor customer reviews? A. Yes B. No,,Should private companies be prohibited from censoring customer reviews? A. Yes B. No,
Is it acceptable for cities to limit water usage during drought conditions? A. Yes B. No,,Should cities be forbidden from limiting water usage during drought conditions? A. Yes B. No,
Do you think it's acceptable for people to smoke in designated outdoor public smoking areas? A. Yes B. No,,Should smoking in designated outdoor public smoking areas be forbidden? A. Yes B. No,